2026-05-15T10:18:04.221+00:00 cn-syd-01 2026-05-15 10:18:04,221 Level="INFO" Name="support.sip" Message="SIP message received" Src-Address="198.51.100.77" Src-Port="5061" Dst-Address="10.0.0.14" Dst-Port="5061" Transport="TLS" Method="INVITE" Call-Id="9f7c2e1b-codec488@198.51.100.77" From="<sip:legacy-sbc@partner.example>;tag=4e7c91" To="<sip:main-vmr@pexip.example>" CSeq="1 INVITE" Content-Type="application/sdp"
2026-05-15T10:18:04.224+00:00 cn-syd-01 2026-05-15 10:18:04,224 Level="INFO" Name="support.sip" Message="SDP offer parsed" Call-Id="9f7c2e1b-codec488@198.51.100.77" Detail="Audio: PCMU(0) PCMA(8) telephone-event(101) | Video: H265(126) only | BFCP: absent | Profile: RTP/SAVP | rtcp-mux: not signalled"
2026-05-15T10:18:04.231+00:00 cn-syd-01 2026-05-15 10:18:04,231 Level="INFO" Name="support.sip" Message="SIP message sent" Src-Address="10.0.0.14" Src-Port="5061" Dst-Address="198.51.100.77" Dst-Port="5061" Transport="TLS" Method="INVITE" Call-Id="9f7c2e1b-codec488@198.51.100.77" Response="100" Reason="Trying"
2026-05-15T10:18:04.318+00:00 cn-syd-01 2026-05-15 10:18:04,318 Level="WARNING" Name="administrator.conference" Message="No common video codec in SDP offer" Conference="main-vmr" ConferenceAlias="main-vmr" Call-Id="9f7c2e1b-codec488@198.51.100.77" Offered-Video-Codecs="H265" Supported-Video-Codecs="VP8,VP9,H264,AV1" Detail="Far-end offered only H.265 for video. Pexip configured codecs for this location do not include H.265; transcoding licence does not cover H.265 either."
2026-05-15T10:18:04.319+00:00 cn-syd-01 2026-05-15 10:18:04,319 Level="WARNING" Name="administrator.conference" Message="SRTP profile incompatible" Call-Id="9f7c2e1b-codec488@198.51.100.77" Offered-Profile="RTP/SAVP" Required-Profile="RTP/SAVPF" Detail="Far-end offered SDES-SRTP without RTCP feedback (RTP/SAVP). Pexip requires RTP/SAVPF (with RTCP feedback) for video calls."
2026-05-15T10:18:04.328+00:00 cn-syd-01 2026-05-15 10:18:04,328 Level="ERROR" Name="administrator.sip" Message="Call failed" Call-Id="9f7c2e1b-codec488@198.51.100.77" Conference="main-vmr" ConferenceAlias="main-vmr" Protocol="SIP" Direction="in" reason="incompatible_destination" Reason-Code="488" Detail="No mutually acceptable codec / media profile between offer and Pexip configuration."
2026-05-15T10:18:04.334+00:00 cn-syd-01 2026-05-15 10:18:04,334 Level="INFO" Name="support.sip" Message="SIP message sent" Src-Address="10.0.0.14" Src-Port="5061" Dst-Address="198.51.100.77" Dst-Port="5061" Transport="TLS" Method="INVITE" Call-Id="9f7c2e1b-codec488@198.51.100.77" Response="488" Reason="Not Acceptable Here" Warning="305 pexip.local \"Incompatible video codec; offered H.265 only\""
2026-05-15T10:18:04.412+00:00 cn-syd-01 2026-05-15 10:18:04,412 Level="INFO" Name="support.sip" Message="SIP message received" Src-Address="198.51.100.77" Src-Port="5061" Dst-Address="10.0.0.14" Dst-Port="5061" Transport="TLS" Method="ACK" Call-Id="9f7c2e1b-codec488@198.51.100.77"
2026-05-15T10:18:08.711+00:00 cn-syd-01 2026-05-15 10:18:08,711 Level="INFO" Name="support.sip" Message="SIP message received" Src-Address="198.51.100.77" Src-Port="5061" Dst-Address="10.0.0.14" Dst-Port="5061" Transport="TLS" Method="INVITE" Call-Id="9f7c2e1b-codec488-retry@198.51.100.77" From="<sip:legacy-sbc@partner.example>;tag=8b2d40" To="<sip:main-vmr@pexip.example>" CSeq="1 INVITE"
2026-05-15T10:18:08.715+00:00 cn-syd-01 2026-05-15 10:18:08,715 Level="INFO" Name="support.sip" Message="SDP offer parsed" Call-Id="9f7c2e1b-codec488-retry@198.51.100.77" Detail="Audio: PCMU(0) PCMA(8) | Video: H265(126) only | Profile: RTP/SAVP"
2026-05-15T10:18:08.722+00:00 cn-syd-01 2026-05-15 10:18:08,722 Level="ERROR" Name="administrator.sip" Message="Call failed" Call-Id="9f7c2e1b-codec488-retry@198.51.100.77" Conference="main-vmr" Protocol="SIP" Direction="in" reason="incompatible_destination" Reason-Code="488" Detail="Identical offer; retry produced identical result."
2026-05-15T10:18:08.726+00:00 cn-syd-01 2026-05-15 10:18:08,726 Level="INFO" Name="support.sip" Message="SIP message sent" Src-Address="10.0.0.14" Src-Port="5061" Dst-Address="198.51.100.77" Dst-Port="5061" Transport="TLS" Method="INVITE" Call-Id="9f7c2e1b-codec488-retry@198.51.100.77" Response="488" Reason="Not Acceptable Here"
